2023-03-25T06:29:43.496609116Z {"level":"info","time":"2023-03-25T06:29:43.496557Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T07:00:28.195093721Z {"level":"info","time":"2023-03-25T07:00:28.195043Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T07:27:40.433939527Z {"level":"info","time":"2023-03-25T07:27:40.433893Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T08:00:43.731092687Z {"level":"info","time":"2023-03-25T08:00:43.731045Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T08:28:38.731047984Z {"level":"info","time":"2023-03-25T08:28:38.731002Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T08:59:42.788356265Z {"level":"info","time":"2023-03-25T08:59:42.788295Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T09:27:00.349404402Z {"level":"info","time":"2023-03-25T09:27:00.349353Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T09:59:28.446150313Z {"level":"info","time":"2023-03-25T09:59:28.446105Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T10:27:43.462537691Z {"level":"info","time":"2023-03-25T10:27:43.462490Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T11:00:28.072378490Z {"level":"info","time":"2023-03-25T11:00:28.072332Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T11:27:42.419914390Z {"level":"info","time":"2023-03-25T11:27:42.419861Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T11:59:13.072998610Z {"level":"info","time":"2023-03-25T11:59:13.072950Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T12:26:39.049586289Z {"level":"info","time":"2023-03-25T12:26:39.049536Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T12:59:08.767663366Z {"level":"info","time":"2023-03-25T12:59:08.767618Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T13:29:52.531785542Z {"level":"info","time":"2023-03-25T13:29:52.531731Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T13:57:18.744277178Z {"level":"info","time":"2023-03-25T13:57:18.744228Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T14:29:43.878056225Z {"level":"info","time":"2023-03-25T14:29:43.878001Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T14:58:48.531565419Z {"level":"info","time":"2023-03-25T14:58:48.531516Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T15:27:03.522436457Z {"level":"info","time":"2023-03-25T15:27:03.522384Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T15:56:16.153638284Z {"level":"info","time":"2023-03-25T15:56:16.153592Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T16:25:37.902218373Z {"level":"info","time":"2023-03-25T16:25:37.902169Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T16:57:50.607596953Z {"level":"info","time":"2023-03-25T16:57:50.607550Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T17:26:56.093143547Z {"level":"info","time":"2023-03-25T17:26:56.093100Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T17:28:24.142733858Z {"level":"info","time":"2023-03-25T17:28:24.142684Z","scope":"ads","msg":"XDS: Incremental Pushing:0 ConnectedEndpoints:2 Version:"}
2023-03-25T17:28:24.366062040Z {"level":"info","time":"2023-03-25T17:28:24.366010Z","scope":"cache","msg":"generated new workload certificate","latency":223204936,"ttl":86399633995372}
2023-03-25T17:28:24.366106068Z {"level":"info","time":"2023-03-25T17:28:24.366095Z","scope":"ads","msg":"SDS: PUSH for node:istio-egressgateway-74b6d5dd78-2tnlx.istio-system resources:1 size:4.0kB resource:default"}
2023-03-25T17:58:50.684752764Z {"level":"info","time":"2023-03-25T17:58:50.684705Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T18:26:53.211382164Z {"level":"info","time":"2023-03-25T18:26:53.211332Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T18:58:15.811296922Z {"level":"info","time":"2023-03-25T18:58:15.811244Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
2023-03-25T19:29:05.874305157Z {"level":"info","time":"2023-03-25T19:29:05.874258Z","scope":"xdsproxy","msg":"connected to upstream XDS server: istiod-basic.istio-system.svc:15012"}
